"March 4, 2025: Address to a Joint Session of Congress",https://millercenter.org/the-presidency/presidential-speeches/march-4-2025-address-joint-session-congress,"march_4,_2025_address_to_a_joint_session_of_congress"
"January 20, 2025: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/january-20-2025-inaugural-address,"january_20,_2025_inaugural_address"
"January 15, 2025: Farewell Address",https://millercenter.org/the-presidency/presidential-speeches/january-15-2025-farewell-address,"january_15,_2025_farewell_address"
"September 24, 2024: Address before the 79th United Nations General Assembly",https://millercenter.org/the-presidency/presidential-speeches/september-24-2024-address-79th-united-nations-general-assembly,"september_24,_2024_address_before_the_79th_united_nations_general_assembly"
"July 24, 2024: Statement to the American People",https://millercenter.org/the-presidency/presidential-speeches/july-24-2024-statement-american-people,"july_24,_2024_statement_to_the_american_people"
"July 14, 2024: Remarks after the Attempted Assassination of Former President Trump",https://millercenter.org/the-presidency/presidential-speeches/july-14-2024-remarks-after-attempted-assassination-former,"july_14,_2024_remarks_after_the_attempted_assassination_of_former_president_trump"
"May 31, 2024: Remarks on the Middle East",https://millercenter.org/the-presidency/presidential-speeches/may-31-2024-remarks-middle-east,"may_31,_2024_remarks_on_the_middle_east"
"March 7, 2024: State of Union Address",https://millercenter.org/the-presidency/presidential-speeches/march-7-2024-state-union-address,"march_7,_2024_state_of_union_address"
"January 5, 2024: Speech on the Third Anniversary of the January 6th Attack",https://millercenter.org/the-presidency/presidential-speeches/january-5-2024-speech-third-anniversary-january-6th-attack,"january_5,_2024_speech_on_the_third_anniversary_of_the_january_6th_attack"
"October 20, 2023: Remarks on the US Response in Support of Israel and Ukraine",https://millercenter.org/the-presidency/presidential-speeches/october-20-2023-remarks-us-response-support-israel-and-ukraine,"october_20,_2023_remarks_on_the_us_response_in_support_of_israel_and_ukraine"
"February 21, 2023: Remarks on the One-Year Anniversary of the Ukraine War",https://millercenter.org/the-presidency/presidential-speeches/february-21-2023-remarks-one-year-anniversary-ukraine-war,"february_21,_2023_remarks_on_the_one-year_anniversary_of_the_ukraine_war"
"February 7, 2023: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/february-7-2023-state-union-address,"february_7,_2023_state_of_the_union_address"
"September 21, 2022: Speech before the 77th Session of the United Nations General Assembly",https://millercenter.org/the-presidency/presidential-speeches/september-21-2022-speech-77th-session-united-nations-general,"september_21,_2022_speech_before_the_77th_session_of_the_united_nations_general_assembly"
"September 1, 2022: Remarks on the Continued Battle for the Soul of the Nation",https://millercenter.org/the-presidency/presidential-speeches/september-1-2022-remarks-continued-battle-soul-nation,"september_1,_2022_remarks_on_the_continued_battle_for_the_soul_of_the_nation"
"May 24, 2022: Remarks on School Shooting in Uvalde, Texas",https://millercenter.org/the-presidency/presidential-speeches/may-24-2022-remarks-school-shooting-uvalde-texas,"may_24,_2022_remarks_on_school_shooting_in_uvalde,_texas"
"March 26, 2022: Remarks in Support of the People of Ukraine",https://millercenter.org/the-presidency/presidential-speeches/march-26-2022-remarks-support-people-ukraine,"march_26,_2022_remarks_in_support_of_the_people_of_ukraine"
"March 1, 2022: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/march-1-2022-state-union-address,"march_1,_2022_state_of_the_union_address"
"February 24, 2022: Remarks on the Russian Invasion of Ukraine",https://millercenter.org/the-presidency/presidential-speeches/february-24-2022-remarks-russian-invasion-ukraine,"february_24,_2022_remarks_on_the_russian_invasion_of_ukraine"
"January 6, 2022: Remarks on the Anniversary of the January 6th Assault on the US Capitol",https://millercenter.org/the-presidency/presidential-speeches/january-6-2022-remarks-anniversary-january-6th-assault-us,"january_6,_2022_remarks_on_the_anniversary_of_the_january_6th_assault_on_the_us_capitol"
"November 15, 2021: Signing the Infrastructure Investment and Jobs Act",https://millercenter.org/the-presidency/presidential-speeches/november-15-2021-signing-infrastructure-investment-and-jobs,"november_15,_2021_signing_the_infrastructure_investment_and_jobs_act"
"September 9, 2021: Remarks on Fighting the COVID-⁠19 Pandemic",https://millercenter.org/the-presidency/presidential-speeches/september-9-2021-remarks-fighting-covid-19-pandemic,"september_9,_2021_remarks_on_fighting_the_covid-⁠19_pandemic"
"August 26, 2021: Statement on Terror Attacks in Afghanistan",https://millercenter.org/the-presidency/presidential-speeches/august-26-2021-statement-terror-attacks-afghanistan,"august_26,_2021_statement_on_terror_attacks_in_afghanistan"
"August 16, 2021: Remarks on Situation in Afghanistan",https://millercenter.org/the-presidency/presidential-speeches/august-16-2021-remarks-situation-afghanistan,"august_16,_2021_remarks_on_situation_in_afghanistan"
"July 8, 2021: Speech on the Drawdown of US Forces in Afghanistan",https://millercenter.org/the-presidency/presidential-speeches/july-8-2021-speech-drawdown-us-forces-afghanistan,"july_8,_2021_speech_on_the_drawdown_of_us_forces_in_afghanistan"
"June 1, 2021: Remarks Commemorating the 100th Anniversary of the Tulsa Race Massacre",https://millercenter.org/the-presidency/presidential-speeches/june-1-2021-remarks-commemorating-100th-anniversary-tulsa-race,"june_1,_2021_remarks_commemorating_the_100th_anniversary_of_the_tulsa_race_massacre"
"April 28, 2021: Address to Joint Session of Congress",https://millercenter.org/the-presidency/presidential-speeches/april-28-2021-address-joint-session-congress,"april_28,_2021_address_to_joint_session_of_congress"
"March 31, 2021: Announcing the American Jobs Plan",https://millercenter.org/the-presidency/presidential-speeches/march-31-2021-announcing-american-jobs-plan,"march_31,_2021_announcing_the_american_jobs_plan"
"March 25, 2021: First Press Conference",https://millercenter.org/the-presidency/presidential-speeches/march-25-2021-first-press-conference,"march_25,_2021_first_press_conference"
"March 11, 2021: Remarks on the Anniversary of the Coronavirus Shutdown",https://millercenter.org/the-presidency/presidential-speeches/march-11-2021-remarks-anniversary-coronavirus-shutdown,"march_11,_2021_remarks_on_the_anniversary_of_the_coronavirus_shutdown"
"January 20, 2021: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/january-20-2021-inaugural-address,"january_20,_2021_inaugural_address"
"January 19, 2021: Farewell Address",https://millercenter.org/the-presidency/presidential-speeches/january-19-2021-farewell-address,"january_19,_2021_farewell_address"
"January 13, 2021: Statement about the Violence at the Capitol",https://millercenter.org/the-presidency/presidential-speeches/january-13-2021-statement-about-violence-capitol,"january_13,_2021_statement_about_the_violence_at_the_capitol"
